id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
363,West Thames St,48,49,40.70834698,-74.01713445,In Service,1,1,West Thames St,,,,,,false,,
364,Lafayette Ave & Classon Ave,27,27,40.68900443,-73.96023854,In Service,1,0,Lafayette Ave & Classon Ave,,,,,,false,,
365,Fulton St & Grand Ave,30,31,40.68223166,-73.9614583,In Service,1,1,Fulton St & Grand Ave,,,,,,false,,
366,Clinton Ave & Myrtle Ave,27,33,40.693261,-73.968896,In Service,1,5,Clinton Ave & Myrtle Ave,,,,,,false,,
367,E 53 St & Lexington Ave,1,34,40.75828065,-73.97069431,In Service,1,32,E 53 St & Lexington Ave,,,,,,false,,
368,Carmine St & 6 Ave,22,39,40.73038599,-74.00214988,In Service,1,15,Carmine St & 6 Ave,,,,,,false,,
369,Washington Pl & 6 Ave,29,35,40.73224119,-74.00026394,In Service,1,4,Washington Pl & 6 Ave,,,,,,false,,
372,Franklin Ave & Myrtle Ave,6,27,40.694528,-73.958089,In Service,1,21,Franklin Ave & Myrtle Ave,,,,,,false,,
373,Willoughby Ave & Walworth St,12,19,40.69331716,-73.95381995,In Service,1,6,Willoughby Ave & Walworth St,,,,,,false,,
375,Mercer St & Bleecker St,17,29,40.72679454,-73.99695094,In Service,1,10,Mercer St & Bleecker St,,,,,,false,,
376,John St & William St,31,43,40.70862144,-74.00722156,In Service,1,10,John St & William St,,,,,,false,,
377,6 Ave & Canal St,15,47,40.72243797,-74.00566443,In Service,1,31,6 Ave & Canal St,,,,,,false,,
379,W 31 St & 7 Ave,37,41,40.749156,-73.9916,In Service,1,4,W 31 St & 7 Ave,,,,,,false,,
380,W 4 St & 7 Ave S,37,39,40.73401143,-74.00293877,In Service,1,1,W 4 St & 7 Ave S,,,,,,false,,
382,University Pl & E 14 St,7,36,40.73492695,-73.99200509,In Service,1,28,University Pl & E 14 St,,,,,,false,,
383,Greenwich Ave & Charles St,34,39,40.735238,-74.000271,In Service,1,5,Greenwich Ave & Charles St,,,,,,false,,
384,Fulton St & Waverly Ave,26,31,40.68317813,-73.9659641,In Service,1,3,Fulton St & Waverly Ave,,,,,,false,,
385,E 55 St & 2 Ave,26,29,40.75797322,-73.96603308,In Service,1,2,E 55 St & 2 Ave,,,,,,false,,
386,Centre St & Worth St,15,43,40.71494807,-74.00234482,In Service,1,26,Centre St & Worth St,,,,,,false,,
387,Centre St & Chambers St,36,39,40.71273266,-74.0046073,In Service,1,1,Centre St & Chambers St,,,,,,false,,
388,W 26 St & 10 Ave,10,35,40.749717753,-74.002950346,In Service,1,18,W 26 St & 10 Ave,,,,,,false,,
389,Broadway & Berry St,27,27,40.71044554,-73.96525063,In Service,1,0,Broadway & Berry St,,,,,,false,,
390,Duffield St & Willoughby St,20,31,40.69221589,-73.9842844,In Service,1,10,Duffield St & Willoughby St,,,,,,false,,
391,Clark St & Henry St,30,31,40.69760127,-73.99344559,In Service,1,1,Clark St & Henry St,,,,,,false,,
392,Jay St & Tech Pl,1,32,40.695065,-73.987167,In Service,1,31,Jay St & Tech Pl,,,,,,false,,
393,E 5 St & Avenue C,28,31,40.72299208,-73.97995466,In Service,1,1,E 5 St & Avenue C,,,,,,false,,
394,E 9 St & Avenue C,29,32,40.72521311,-73.97768752,In Service,1,3,E 9 St & Avenue C,,,,,,false,,
395,Bond St & Schermerhorn St,14,29,40.68807003,-73.98410637,In Service,1,15,Bond St & Schermerhorn St,,,,,,false,,
396,Lefferts Pl & Franklin Ave,24,25,40.680342423,-73.9557689392,In Service,1,1,Lefferts Pl & Franklin Ave,,,,Bedford-Stuyvesant,,false,,
397,Fulton St & Clermont Ave,17,27,40.68415748,-73.96922273,In Service,1,8,Fulton St & Clermont Ave,,,,,,false,,
398,Atlantic Ave & Furman St,29,31,40.69165183,-73.9999786,In Service,1,0,Atlantic Ave & Furman St,,,,,,false,,
399,Lafayette Ave & St James Pl,24,27,40.68851534,-73.9647628,In Service,1,3,Lafayette Ave & St James Pl,,,,,,false,,
400,Pitt St & Stanton St,13,15,40.71926081,-73.98178024,In Service,1,0,Pitt St & Stanton St,,,,,,false,,
401,Allen St & Rivington St,40,42,40.72019576,-73.98997825,In Service,1,2,Allen St & Rivington St,,,,,,false,,
402,Broadway & E 22 St,3,42,40.7403432,-73.98955109,In Service,1,37,Broadway & E 22 St,,,,,,false,,
403,E 2 St & 2 Ave,13,31,40.72502876,-73.99069656,In Service,1,18,E 2 St & 2 Ave,,,,,,false,,
404,9 Ave & W 14 St,12,39,40.7405826,-74.00550867,In Service,1,17,9 Ave & W 14 St,,,,,,false,,
405,Washington St & Gansevoort St,34,40,40.739323,-74.008119,In Service,1,4,Washington St & Gansevoort St,,,,,,false,,
406,Hicks St & Montague St,33,34,40.69512845,-73.99595065,In Service,1,0,Hicks St & Montague St,,,,,,false,,
407,Henry St & Poplar St,41,43,40.700469,-73.991454,In Service,1,2,Henry St & Poplar St,,,,,,false,,
408,Market St & Cherry St,18,23,40.71076228,-73.99400398,In Service,1,3,Market St & Cherry St,,,,,,false,,
409,DeKalb Ave & Skillman St,12,19,40.6906495,-73.95643107,In Service,1,6,DeKalb Ave & Skillman St,,,,,,false,,
410,Suffolk St & Stanton St,35,35,40.72066442,-73.98517977,In Service,1,0,Suffolk St & Stanton St,,,,,,false,,
411,E 6 St & Avenue D,23,23,40.72228087,-73.97668709,In Service,1,0,E 6 St & Avenue D,,,,,,false,,
412,Forsyth St & Canal St,18,20,40.7158155,-73.99422366,In Service,1,1,Forsyth St & Canal St,,,,,,false,,
414,Pearl St & Anchorage Pl,0,24,40.70281858,-73.98765762,In Service,1,23,Pearl St & Anchorage Pl,,,,,,false,,
415,Pearl St & Hanover Square,12,42,40.7047177,-74.00926027,In Service,1,26,Pearl St & Hanover Square,,,,,,false,,
416,Cumberland St & Lafayette Ave,30,31,40.68753406,-73.97265183,In Service,1,1,Cumberland St & Lafayette Ave,,,,,,false,,
417,Barclay St & Church St,19,19,40.71291224,-74.01020234,Not In Service,3,0,Barclay St & Church St,,,,,,false,,
418,Front St & Gold St,11,23,40.70224,-73.982578,In Service,1,11,Front St & Gold St,,,,,,false,,
419,Carlton Ave & Park Ave,21,23,40.69580705,-73.97355569,In Service,1,0,Carlton Ave & Park Ave,,,,,,false,,
420,Clermont Ave & Lafayette Ave,14,23,40.68764484,-73.96968902,In Service,1,8,Clermont Ave & Lafayette Ave,,,,,,false,,
421,Clermont Ave & Park Ave,14,19,40.69573398,-73.97129668,In Service,1,2,Clermont Ave & Park Ave,,,,,,false,,
422,W 59 St & 10 Ave,44,55,40.770513,-73.988038,In Service,1,9,W 59 St & 10 Ave,,,,,,false,,
423,W 54 St & 9 Ave,36,39,40.76584941,-73.98690506,In Service,1,2,W 54 St & 9 Ave,,,,,,false,,
426,West St & Chambers St,20,31,40.71754834,-74.01322069,In Service,1,10,West St & Chambers St,,,,,,false,,
427,Bus Slip & State St,5,47,40.701907,-74.013942,In Service,1,40,Bus Slip & State St,,,,,,false,,
428,E 3 St & 1 Ave,30,31,40.72467721,-73.98783413,In Service,1,1,E 3 St & 1 Ave,,,,,,false,,
430,York St & Jay St,0,27,40.7014851,-73.98656928,In Service,1,27,York St & Jay St,,,,,,false,,
431,Hanover Pl & Livingston St,19,30,40.68864636,-73.98263429,In Service,1,11,Hanover Pl & Livingston St,,,,,,false,,
432,E 7 St & Avenue A,30,31,40.72621788,-73.98379855,In Service,1,1,E 7 St & Avenue A,,,,,,false,,
433,E 13 St & Avenue A,37,39,40.72955361,-73.98057249,In Service,1,0,E 13 St & Avenue A,,,,,,false,,
434,9 Ave & W 18 St,3,27,40.74317449,-74.00366443,In Service,1,23,9 Ave & W 18 St,,,,,,false,,
435,W 21 St & 6 Ave,6,47,40.74173969,-73.99415556,In Service,1,39,W 21 St & 6 Ave,,,,,,false,,
436,Hancock St & Bedford Ave,24,27,40.68216564,-73.95399026,In Service,1,1,Hancock St & Bedford Ave,,,,,,false,,
437,Macon St & Nostrand Ave,18,24,40.6809833854,-73.9500479759,In Service,1,3,Macon St & Nostrand Ave,,,,,,false,,
438,St Marks Pl & 1 Ave,23,27,40.72779126,-73.98564945,In Service,1,3,St Marks Pl & 1 Ave,,,,,,false,,
439,E 4 St & 2 Ave,38,39,40.7262807,-73.98978041,In Service,1,1,E 4 St & 2 Ave,,,,,,false,,
440,E 45 St & 3 Ave,6,32,40.75255434,-73.97282625,In Service,1,24,E 45 St & 3 Ave,,,,,,false,,
441,E 52 St & 2 Ave,24,35,40.756014,-73.967416,In Service,1,9,E 52 St & 2 Ave,,,,,,false,,
442,W 27 St & 7 Ave,25,51,40.746647,-73.993915,In Service,1,26,W 27 St & 7 Ave,,,,,,false,,
443,Bedford Ave & S 9th St,16,23,40.70853074,-73.96408963,In Service,1,6,Bedford Ave & S 9th St,,,,,,false,,
444,Broadway & W 24 St,0,52,40.7423543,-73.98915076,In Service,1,52,Broadway & W 24 St,,,,,,false,,
445,E 10 St & Avenue A,35,42,40.72740794,-73.98142006,In Service,1,3,E 10 St & Avenue A,,,,,,false,,
